label,peak_task_idx,rel_t_sec,h1_total_persistence,lambda2,aspl,h1_zero,best_pair,z_h1_total_persistence,z_lambda2,z_aspl
P11,3,0.125,0.22781087474628892,3.907437960155193,1.8947209244760466,0,Alpha_mean x p00,0.12957050949372317,-0.2704963530540726,-0.09502679331042407
P11,3,0.25,0.117547403198617,4.1975182151584765,1.8094079172544177,0,Alpha_mean x p00,-0.36603952405198115,-0.11251961308843976,-0.3416963511416184
P11,3,0.375,0.17405170036955764,3.355988836757945,2.051146325846885,0,Alpha_mean x p00,-0.11206514592568673,-0.5708137075400479,0.3572534139676235
P11,3,0.5,0.005671660104506038,1.396123930094097,2.1422470905601756,0,Alpha_mean x p00,-0.8688963633076796,-1.6381496029952536,0.6206573904741965
P11,3,0.625,0.27062674211024007,4.027226507354175,2.243690851471041,0,Alpha_mean x p00,0.3220184087180996,-0.20525990953432885,0.9139665641106486
P11,3,0.75,0.4819782834883617,4.3821287797911035,2.1119084992881376,0,Alpha_mean x p00,1.2719970647688468,-0.011981314942131723,0.532937977713915
P11,3,0.875,0.49302172633821884,2.5218529415825754,2.4611167933468274,0,Alpha_mean x p00,1.321634909509763,-1.0250813356715391,1.542620537170153
P11,3,1.0,1.0987869333849771,4.053552764600793,2.35729939498676,0,Alpha_mean x p00,4.044416174885253,-0.19092271758974017,1.2424483526152703
P11,3,1.125,0.38985174495827013,3.131173747704029,2.554350368280492,0,Alpha_mean x p00,0.8579085528575571,-0.6932472556745775,1.8121912093674637
P11,3,1.25,0.215617812326806,2.7483943068022127,2.5410243741663776,0,Alpha_mean x p00,0.0747653778401988,-0.901707663291263,1.7736611284004398
P11,3,1.375,0.33684483613886707,4.4512025330875105,2.028504561377091,0,Alpha_mean x p00,0.6196541655305592,0.025636020863206845,0.29178820283313356
P11,3,1.5,0.0868513300246484,3.548878261518847,2.2266186950526827,0,Alpha_mean x p00,-0.504011616186724,-0.4657667697633674,0.8646050257932671
P11,3,1.625,0.13881193582142992,3.827949597591866,2.076828073129145,0,Alpha_mean x p00,-0.2704601306354626,-0.3137854503517101,0.4315082720807651
P11,3,1.75,0.05177991371840518,5.756695450517593,1.4666776456100372,0,Alpha_mean x p00,-0.6616499126058389,0.7366031121652089,-1.3326486961018758
P11,3,1.875,0.06867837171063895,4.738395455798267,1.629426947849549,0,Alpha_mean x p00,-0.5856950635987429,0.1820403292865215,-0.8620838932873996
P11,3,2.0,0.0,5.52999298067716,1.6800952442383132,1,Alpha_mean x p00,-0.8943892270385189,0.6131417027454489,-0.7155842366312012
P14,26,-2.0,0.11531921645432752,2.269183720459103,1.9936080132860992,0,Gamma_mean x p10,-0.7706222240664645,-1.5587114122689343,-0.8419707747785194
P14,26,-1.875,0.37896791829942267,3.0199493086907303,2.5773943344013728,0,Gamma_mean x p10,0.9840254415743325,-0.4257884690001956,1.6930162915578593
P14,26,-1.75,0.23681969015715232,3.4142245938251152,2.4608078502363218,0,Gamma_mean x p10,0.0379936388789601,0.1691822162501746,1.1867604599662223
P14,26,-1.625,0.1746038378710667,3.388990546695199,2.3482559651262562,0,Gamma_mean x p10,-0.3760683277290643,0.13110344520215128,0.6980241488777412
P14,26,-1.5,0.5423772719089137,2.936800901397801,2.5637631139379984,0,Gamma_mean x p10,2.0715553207209734,-0.551261372653513,1.633825169184489
P14,26,-1.375,0.2148517762464881,2.921804480168202,2.3057454955661294,0,Gamma_mean x p10,-0.1082082904026502,-0.5738913252568996,0.5134300831707289
P14,26,-1.25,0.036321555929484384,2.6866971667599344,2.33941569817995,0,Gamma_mean x p10,-1.296371297211688,-0.9286737948662058,0.6596368801780658
P14,26,-1.125,0.0,2.480420284894784,2.101656010683369,1,Gamma_mean x p10,-1.5381002830860673,-1.2399504647005513,-0.37279178575670935
P14,26,-1.0,0.3981863500985704,3.7628726264646737,2.211498505703221,0,Gamma_mean x p10,1.1119288837595487,0.6953003035658663,0.10417948633046266
P14,26,-0.875,0.4024330043126204,3.374757212049296,2.3020332275787876,0,Gamma_mean x p10,1.1401914234622645,0.10962500821418657,0.49731022733596386
P14,26,-0.75,0.03192434162250457,3.6564185772471944,1.7960338240533664,0,Gamma_mean x p10,-1.3256358517688263,0.5346586377079303,-1.6999011445584187
P14,26,-0.625,0.3220505952616276,3.72136936132774,2.1094323109828816,0,Gamma_mean x p10,0.6052265045650843,0.6326708996197556,-0.3390246007950054
P14,26,-0.5,0.3596429477547849,2.6612622637987724,2.5616747453721467,0,Gamma_mean x p10,0.8554129575475818,-0.9670556620910847,1.624756804420368
P14,26,-0.375,0.25683348928109995,3.40938343236353,2.3886561510130897,0,Gamma_mean x p10,0.17119044837461758,0.16187678965914354,0.8734546874094686
P14,26,-0.25,0.1474255439101717,3.270475688780593,1.7819697748446195,0,Gamma_mean x p10,-0.556946631778529,-0.04773826485271538,-1.7609717478853029
P14,26,-0.125,0.266128073008401,2.447004115197645,1.7950787500048377,0,Gamma_mean x p10,0.23304821412911705,-1.2903762512835801,-1.7040483817800591
P14,26,0.0,0.0,4.36075910059523,1.7281964242177255,1,Gamma_mean x p10,-1.5381002830860673,1.5975250653693844,-1.994472848240532
P14,26,0.125,0.40413481046615807,2.8700782597908154,2.4754576405453212,0,Gamma_mean x p10,1.1515173665591982,-0.6519474092766112,1.2503745386361482
P14,26,0.25,0.0912184005810005,1.8008152115152187,2.1768590986889955,0,Gamma_mean x p10,-0.9310191462444397,-2.2654905161659906,-0.04623590640924466
P14,26,0.375,0.1445177239716673,2.5694604064563316,2.439792913661838,0,Gamma_mean x p10,-0.5762988964833948,-1.1055868255437273,1.0955068788367035
P14,26,0.5,0.24424755411959242,3.3820260193768994,2.1481448493249453,0,Gamma_mean x p10,0.08742792044826797,0.12059380955607892,-0.17092236808989064
P14,26,0.625,0.018776639196037448,3.8144499178878917,2.0776598353513784,0,Gamma_mean x p10,-1.413137080523955,0.773131650288425,-0.47699085981504935
P14,26,0.75,0.2445696057222051,3.1554387501112338,2.11569526929793,0,Gamma_mean x p10,0.0895712539400908,-0.22133171290737855,-0.31182883112482823
P14,26,0.875,0.0268078927257257,2.986604365394249,2.182014043711409,0,Gamma_mean x p10,-1.3596870913549712,-0.4761067732681901,-0.023851485111862948
P14,26,1.0,0.31757213936934103,4.679364307455068,1.9483566447614504,0,Gamma_mean x p10,0.5754212670574371,2.078307821471188,-1.0384667011045405
P14,26,1.125,0.3646185271076443,4.214222303644377,1.9934549975014082,0,Gamma_mean x p10,0.8885266752924725,1.3763975897617586,-0.8426352182933929
P14,26,1.25,0.17606371110946883,3.3826995293454134,2.070535158623299,0,Gamma_mean x p10,-0.36635250833770316,0.1216101519508429,-0.507928486655989
P14,26,1.375,0.4204021581339006,4.548888636420019,1.9731534443368732,0,Gamma_mean x p10,1.25978061007838,1.8814169628981834,-0.9307910603150399
P14,26,1.5,0.31791366067301974,4.500268803855558,2.053351613676026,0,Gamma_mean x p10,0.577694176250893,1.8080484912026378,-0.5825449389769831
P14,26,1.625,0.08143471648294054,3.160832056894549,2.3411196791830204,0,Gamma_mean x p10,-0.9961319965785719,-0.2131930860301171,0.667036111108681
P14,26,1.75,0.3831311643674481,3.40840475961072,2.3205976864098634,0,Gamma_mean x p10,1.0117328793262583,0.1603999494403186,0.5779230497474346
P14,26,1.875,0.44289261655270096,3.542983168697546,2.213296642414316,0,Gamma_mean x p10,1.4094602029895773,0.36348193629882125,0.11198757148296001
P14,26,2.0,0.06447167186200131,3.1707495282751585,2.2930160489416056,0,Gamma_mean x p10,-1.1090252763026625,-0.1982273882911352,0.45815475144808765
P17,11,-2.0,0.0,2.86766707465764,1.629349098324945,1,Beta_mean x p00,-0.7275322472356978,-0.6753908197823576,-0.44768590134095854
P17,11,-1.875,0.04339479626792131,2.9511985045604536,1.603881442868445,0,Beta_mean x p00,-0.5327627320733774,-0.6448462371755733,-0.5061128163882715
P17,11,-1.75,0.0017946588331434477,8.970359726999721,1.2564348680209356,0,Beta_mean x p00,-0.7194772530687701,1.5561548398592187,-1.3032113772184597
P17,11,-1.625,0.0122265336326427,5.212115277741514,1.6316609826475907,0,Beta_mean x p00,-0.6726557128917403,0.18189358070903566,-0.4423820652988402
P17,11,-1.5,0.2389414972620567,3.8772319117575136,2.217447644732216,0,Beta_mean x p00,0.34491245987984887,-0.30622754076774633,0.9015071513558504
P17,11,-1.375,0.05654292737207589,8.100179818479507,1.4079159868825417,0,Beta_mean x p00,-0.4737497779708628,1.2379598546963415,-0.9556892239477683
P17,11,-1.25,0.061687757428023016,5.327031662765909,1.6011309084484628,0,Beta_mean x p00,-0.45065816004039444,0.2239145663348596,-0.5124229866026242
P17,11,-1.125,0.0530248488144347,3.914733583246075,1.9918956463791029,0,Beta_mean x p00,-0.4895400227445492,-0.29251446409699405,0.3840544369103383
P17,11,-1.0,1.0528714067295364,3.245281998308276,2.5214547434406613,0,Beta_mean x p00,3.9980862843248177,-0.5373099771292272,1.5989485377589716
P17,11,-0.875,0.31243841768581404,2.352874784254927,2.4840664842356115,0,Beta_mean x p00,0.6747897905274614,-0.8636327265453079,1.5131738323459996
P17,11,-0.75,0.045890058575148496,2.1282796801383785,2.1394309338043267,0,Beta_mean x p00,-0.5215632088222286,-0.9457594627779911,0.7225242155516375
P17,11,-0.625,0.14316361371363207,2.2726869079396366,2.596464370277198,0,Beta_mean x p00,-0.08496885185221885,-0.8929546861361433,1.7710327369658685
P17,11,-0.5,0.08517830000597759,2.2569787525858445,2.5226900543390047,0,Beta_mean x p00,-0.3452252053478474,-0.8986986204775322,1.6017825404820651
P17,11,-0.375,0.07822670433220125,2.9025492880683728,1.516594674291406,0,Beta_mean x p00,-0.3764261565085927,-0.6626355892030267,-0.7063627617009046
P17,11,-0.25,0.0,2.071703192465919,1.8305113137430167,1,Beta_mean x p00,-0.7275322472356978,-0.9664475463331721,0.01381271171496658
P17,11,-0.125,0.34521607130986276,4.572352185270206,1.5902028518116977,0,Beta_mean x p00,0.8219062250671885,-0.05204586758602392,-0.5374937135817557
P17,11,0.0,0.6168288203421333,3.2829599429165244,2.3808026247949083,0,Beta_mean x p00,2.040989801685497,-0.5235324434167136,1.276269860038657
P17,11,0.125,0.5022345042268846,3.716179125595513,2.2528620694956083,0,Beta_mean x p00,1.5266544133517612,-0.3651190279205635,0.9827535617541059
P17,11,0.25,0.17171115934368053,4.557215166416566,1.8314788752328919,0,Beta_mean x p00,0.0431615255116913,-0.0575809568731747,0.01603245404925992
P17,11,0.375,0.1227557453223922,3.441237137206373,1.8011139206867315,0,Beta_mean x p00,-0.17656579374169012,-0.46565589513565164,-0.05362965610117502
P17,11,0.5,0.0,7.934208997336615,1.2688121757136572,1,Beta_mean x p00,-0.7275322472356978,1.1772700106147411,-1.2748158342399432
P17,11,0.625,0.0026296082370939056,12.915493525981907,1.0472589546957212,0,Beta_mean x p00,-0.7157297371318715,2.9987551324440487,-1.7830947076126258
