condition,iteration,metric,median_diff
random_fake_quantum,22,delta_lambda2,-0.668213926127657
random_fake_quantum,22,delta_aspl,-0.022733094711808288
random_fake_quantum,23,delta_h1_zero,-0.03383458646616541
random_fake_quantum,23,delta_lambda2,0.13442444467147552
random_fake_quantum,23,delta_aspl,0.05308125553819276
random_fake_quantum,24,delta_h1_zero,-0.15789473684210525
random_fake_quantum,24,delta_lambda2,-0.4481659080663265
random_fake_quantum,24,delta_aspl,-0.021098101355656596
random_fake_quantum,25,delta_h1_zero,0.05263157894736842
random_fake_quantum,25,delta_lambda2,-0.6047085841800168
random_fake_quantum,25,delta_aspl,-0.02644969104773809
random_fake_quantum,26,delta_h1_zero,0.09022556390977443
random_fake_quantum,26,delta_lambda2,0.37873924265090597
random_fake_quantum,26,delta_aspl,-0.0386329608846574
random_fake_quantum,27,delta_h1_zero,-0.05263157894736842
random_fake_quantum,27,delta_lambda2,-0.19234954091574652
random_fake_quantum,27,delta_aspl,0.036673046196087355
random_fake_quantum,28,delta_h1_zero,-0.05263157894736842
random_fake_quantum,28,delta_lambda2,-0.6056600233677139
random_fake_quantum,28,delta_aspl,-0.05686808237450802
random_fake_quantum,29,delta_h1_zero,0.03759398496240601
random_fake_quantum,29,delta_lambda2,0.5650385702297931
random_fake_quantum,29,delta_aspl,-0.1012701761440038
random_fake_quantum,30,delta_h1_zero,0.05263157894736842
random_fake_quantum,30,delta_lambda2,-0.2488535926140818
random_fake_quantum,30,delta_aspl,0.06801999447302265
random_fake_quantum,31,delta_h1_zero,-0.03759398496240601
random_fake_quantum,31,delta_lambda2,-0.055182000200960424
random_fake_quantum,31,delta_aspl,0.08569459219756759
random_fake_quantum,32,delta_h1_zero,-0.03759398496240601
random_fake_quantum,32,delta_lambda2,-0.2057495948283301
random_fake_quantum,32,delta_aspl,0.10594574739836826
random_fake_quantum,33,delta_h1_zero,-0.14285714285714285
random_fake_quantum,33,delta_lambda2,0.06828716622831221
random_fake_quantum,33,delta_aspl,-0.011985761290690622
random_fake_quantum,34,delta_h1_zero,-0.14285714285714285
random_fake_quantum,34,delta_lambda2,0.1384625528707928
random_fake_quantum,34,delta_aspl,-0.08958347933464106
random_fake_quantum,35,delta_h1_zero,0.07518796992481203
random_fake_quantum,35,delta_lambda2,0.0028874831182581495
random_fake_quantum,35,delta_aspl,-0.0001889163868593613
random_fake_quantum,36,delta_h1_zero,-0.05263157894736842
random_fake_quantum,36,delta_lambda2,-0.0231566108544512
random_fake_quantum,36,delta_aspl,0.38049875806196143
random_fake_quantum,37,delta_h1_zero,0.07142857142857142
random_fake_quantum,37,delta_lambda2,-0.1894312940768066
random_fake_quantum,37,delta_aspl,-0.036900609282234376
random_fake_quantum,38,delta_h1_zero,-0.09022556390977443
random_fake_quantum,38,delta_lambda2,-0.45845415369598186
random_fake_quantum,38,delta_aspl,-0.20951834146423698
random_fake_quantum,39,delta_h1_zero,0.16917293233082706
random_fake_quantum,39,delta_lambda2,0.48453464957215076
random_fake_quantum,39,delta_aspl,-0.0892103896280938
random_fake_quantum,40,delta_h1_zero,0.03383458646616541
random_fake_quantum,40,delta_lambda2,-0.140796658138707
random_fake_quantum,40,delta_aspl,-0.039234365163603346
random_fake_quantum,41,delta_h1_zero,-0.12781954887218044
random_fake_quantum,41,delta_lambda2,0.41460841097170364
random_fake_quantum,41,delta_aspl,-0.009914710404055782
random_fake_quantum,42,delta_h1_zero,-0.05263157894736842
random_fake_quantum,42,delta_lambda2,0.18914998513232373
random_fake_quantum,42,delta_aspl,0.03519593913023211
random_fake_quantum,43,delta_h1_zero,-0.02631578947368421
random_fake_quantum,43,delta_lambda2,-0.2831002733118193
random_fake_quantum,43,delta_aspl,0.09382814727572297
random_fake_quantum,44,delta_h1_zero,0.05263157894736842
random_fake_quantum,44,delta_lambda2,0.4796115102390073
random_fake_quantum,44,delta_aspl,-0.008592812693444918
random_fake_quantum,45,delta_h1_zero,-0.06390977443609022
random_fake_quantum,45,delta_lambda2,-0.06492580928890157
random_fake_quantum,45,delta_aspl,-0.008010847570367963
random_fake_quantum,46,delta_h1_zero,0.05263157894736842
random_fake_quantum,46,delta_lambda2,-0.4268172470665488
random_fake_quantum,46,delta_aspl,0.19631582337086906
random_fake_quantum,47,delta_h1_zero,0.05263157894736842
random_fake_quantum,47,delta_lambda2,0.04678683236828496
random_fake_quantum,47,delta_aspl,0.0029885109421696754
random_fake_quantum,48,delta_h1_zero,0.10526315789473684
random_fake_quantum,48,delta_lambda2,0.390152415384456
random_fake_quantum,48,delta_aspl,0.05679953370752289
random_fake_quantum,49,delta_h1_zero,0.018796992481203006
random_fake_quantum,49,delta_lambda2,-0.5635620610702985
random_fake_quantum,49,delta_aspl,0.024899017205987084
random_fake_quantum,50,delta_h1_zero,-0.13157894736842105
random_fake_quantum,50,delta_lambda2,-1.0429998124224678
random_fake_quantum,50,delta_aspl,0.13372256675132266
random_fake_quantum,51,delta_h1_zero,-0.07142857142857142
random_fake_quantum,51,delta_lambda2,-0.18164111802623562
random_fake_quantum,51,delta_aspl,-0.0013513229323898202
random_fake_quantum,52,delta_h1_zero,0.045112781954887216
random_fake_quantum,52,delta_lambda2,-0.31871300373530165
random_fake_quantum,52,delta_aspl,0.09447246449595048
random_fake_quantum,53,delta_h1_zero,0.10526315789473684
random_fake_quantum,53,delta_lambda2,-0.19702435577527133
random_fake_quantum,53,delta_aspl,-0.11912056198651655
random_fake_quantum,54,delta_h1_zero,0.05263157894736842
random_fake_quantum,54,delta_lambda2,-0.013590456217408065
random_fake_quantum,54,delta_aspl,-0.03885640238505994
random_fake_quantum,55,delta_h1_zero,0.09022556390977443
random_fake_quantum,55,delta_lambda2,0.6699716226168517
random_fake_quantum,55,delta_aspl,-0.3024243807134728
random_fake_quantum,56,delta_h1_zero,-0.05263157894736842
random_fake_quantum,56,delta_lambda2,-0.9181451255607778
random_fake_quantum,56,delta_aspl,0.06416974030201672
random_fake_quantum,57,delta_h1_zero,0.03383458646616541
random_fake_quantum,57,delta_lambda2,0.3668687329206539
random_fake_quantum,57,delta_aspl,-0.04602402527951377
random_fake_quantum,58,delta_h1_zero,0.05263157894736842
random_fake_quantum,58,delta_lambda2,0.11736320822000712
random_fake_quantum,58,delta_aspl,-0.11577269915634103
random_fake_quantum,59,delta_h1_zero,0.045112781954887216
random_fake_quantum,59,delta_lambda2,0.11393138211738374
random_fake_quantum,59,delta_aspl,-0.03937799340220338
random_fake_quantum,60,delta_h1_zero,-0.15037593984962405
random_fake_quantum,60,delta_lambda2,-0.1712499841836257
random_fake_quantum,60,delta_aspl,0.09149440289593502
random_fake_quantum,61,delta_h1_zero,0.03759398496240601
random_fake_quantum,61,delta_lambda2,-0.15016156033288075
random_fake_quantum,61,delta_aspl,0.06898400992541642
random_fake_quantum,62,delta_h1_zero,-0.15789473684210525
random_fake_quantum,62,delta_lambda2,-0.1526397013986447
random_fake_quantum,62,delta_aspl,0.039178227138532584
random_fake_quantum,63,delta_h1_zero,-0.05263157894736842
random_fake_quantum,63,delta_lambda2,-0.8593655708595307
random_fake_quantum,63,delta_aspl,0.13970313134590917
random_fake_quantum,64,delta_h1_zero,-0.10526315789473684
random_fake_quantum,64,delta_lambda2,-0.5566065117234322
random_fake_quantum,64,delta_aspl,-0.08740463834227197
random_fake_quantum,65,delta_h1_zero,0.03759398496240601
random_fake_quantum,65,delta_lambda2,0.19403917096128298
